Type,Index,Description,Subject,Gold,Random,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
MCQ(multiple),48,JEE Adv 2022 Paper 2,chem,ABC,0.203125,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),50,JEE Adv 2022 Paper 2,chem,BC,0.09375,0.0,0.0,1.0,0.0,0.0,1.0,1.0
MCQ,51,JEE Adv 2022 Paper 2,chem,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,52,JEE Adv 2022 Paper 2,chem,C,0.25,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MCQ,53,JEE Adv 2022 Paper 2,chem,C,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),1,JEE Adv 2023 Paper 1,math,ACD,0.203125,0.0,0.0,0.5,0.5,0.5,0.0,0.5
MCQ(multiple),2,JEE Adv 2023 Paper 1,math,AC,0.09375,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCQ(multiple),3,JEE Adv 2023 Paper 1,math,BCD,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,4,JEE Adv 2023 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,5,JEE Adv 2023 Paper 1,math,A,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ,6,JEE Adv 2023 Paper 1,math,B,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ,7,JEE Adv 2023 Paper 1,math,A,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Integer,8,JEE Adv 2023 Paper 1,math,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Integer,9,JEE Adv 2023 Paper 1,math,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,10,JEE Adv 2023 Paper 1,math,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,11,JEE Adv 2023 Paper 1,math,281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Integer,12,JEE Adv 2023 Paper 1,math,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,13,JEE Adv 2023 Paper 1,math,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,14,JEE Adv 2023 Paper 1,math,A,0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0
MCQ,15,JEE Adv 2023 Paper 1,math,A,0.25,1.0,1.0,0.0,1.0,0.0,1.0,1.0
MCQ,16,JEE Adv 2023 Paper 1,math,B,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,17,JEE Adv 2023 Paper 1,math,B,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCQ,21,JEE Adv 2023 Paper 1,phy,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,23,JEE Adv 2023 Paper 1,phy,A,0.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0
MCQ,24,JEE Adv 2023 Paper 1,phy,A,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Integer,25,JEE Adv 2023 Paper 1,phy,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Integer,27,JEE Adv 2023 Paper 1,phy,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Integer,28,JEE Adv 2023 Paper 1,phy,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,29,JEE Adv 2023 Paper 1,phy,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,31,JEE Adv 2023 Paper 1,phy,A,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,32,JEE Adv 2023 Paper 1,phy,C,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ,33,JEE Adv 2023 Paper 1,phy,B,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCQ(multiple),35,JEE Adv 2023 Paper 1,chem,BCD,0.203125,0.5,1.0,1.0,1.0,1.0,1.0,1.0
MCQ,39,JEE Adv 2023 Paper 1,chem,A,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
MCQ,40,JEE Adv 2023 Paper 1,chem,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,42,JEE Adv 2023 Paper 1,chem,222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Integer,43,JEE Adv 2023 Paper 1,chem,100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MCQ,48,JEE Adv 2023 Paper 1,chem,D,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,49,JEE Adv 2023 Paper 1,chem,D,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,51,JEE Adv 2023 Paper 1,chem,D,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCQ,1,JEE Adv 2023 Paper 2,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,2,JEE Adv 2023 Paper 2,math,B,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,3,JEE Adv 2023 Paper 2,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,4,JEE Adv 2023 Paper 2,math,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),5,JEE Adv 2023 Paper 2,math,BC,0.09375,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),6,JEE Adv 2023 Paper 2,math,AB,0.09375,0.25,0.0,0.0,0.25,0.0,0.0,1.0
MCQ(multiple),7,JEE Adv 2023 Paper 2,math,ABC,0.203125,0.0,0.5,0.0,0.0,1.0,0.0,0.0
Integer,8,JEE Adv 2023 Paper 2,math,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Integer,9,JEE Adv 2023 Paper 2,math,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,10,JEE Adv 2023 Paper 2,math,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,11,JEE Adv 2023 Paper 2,math,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,12,JEE Adv 2023 Paper 2,math,3780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,13,JEE Adv 2023 Paper 2,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,14,JEE Adv 2023 Paper 2,math,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,15,JEE Adv 2023 Paper 2,math,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,19,JEE Adv 2023 Paper 2,phy,A,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0
MCQ,20,JEE Adv 2023 Paper 2,phy,A,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0
MCQ,21,JEE Adv 2023 Paper 2,phy,C,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0
MCQ(multiple),24,JEE Adv 2023 Paper 2,phy,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,27,JEE Adv 2023 Paper 2,phy,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Integer,29,JEE Adv 2023 Paper 2,phy,16,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,36,JEE Adv 2023 Paper 2,chem,A,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),39,JEE Adv 2023 Paper 2,chem,CD,0.09375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),40,JEE Adv 2023 Paper 2,chem,ABD,0.203125,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Integer,42,JEE Adv 2023 Paper 2,chem,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Integer,43,JEE Adv 2023 Paper 2,chem,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Integer,44,JEE Adv 2023 Paper 2,chem,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,46,JEE Adv 2023 Paper 2,chem,682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,50,JEE Adv 2023 Paper 2,chem,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,51,JEE Adv 2023 Paper 2,chem,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
